InvoiceDate,StockCode,Quantity,Quantity Prediction
2011-10-23,20719,4,12.083391
2011-10-23,23290,4,5.5260625
2011-10-23,22704,25,30.456257
2011-10-23,22562,1,1.821217
2011-10-23,22701,1,1.3106884
2011-10-23,17012D,3,4.3916373
2011-10-23,23265,19,21.850475
2011-10-23,23289,4,5.9209027
2011-10-23,23060,1,1.7942537
2011-10-23,23269,2,4.645163
2011-10-23,23554,7,4.392628
2011-10-23,23272,5,5.9475684
2011-10-23,21817,4,8.067957
2011-10-23,20996,7,15.776665
2011-10-23,35095B,12,12.063326
2011-10-23,85071B,6,6.3766007
2011-10-23,85071C,2,2.782576
2011-10-23,23074,1,1.5835947
2011-10-23,23539,1,1.3881096
2011-10-23,21114,15,17.435703
2011-10-23,21989,1,2.535315
2011-10-23,17012C,25,25.998539
2011-10-23,21986,12,14.3885565
2011-10-23,20723,2,5.7821307
2011-10-23,21636,5,7.3631854
2011-10-23,23389,10,14.357843
2011-10-23,35651,4,4.8506207
2011-10-23,22721,2,2.1165786
2011-10-23,22163,6,7.9676414
2011-10-23,85066,18,17.719852
2011-10-23,22362,1,1.2847589
2011-10-23,21390,6,11.977211
2011-10-23,21993,7,8.047842
2011-10-23,85152,1,10.434422
2011-10-23,84997D,2,5.3082337
2011-10-23,22381,3,3.8422256
2011-10-23,21181,2,5.2273355
2011-10-23,21809,8,11.58994
2011-10-23,84029G,3,3.1810384
2011-10-23,84378,4,11.382702
2011-10-23,22866,23,30.493053
2011-10-23,23170,12,22.161808
2011-10-23,15044A,3,4.075649
2011-10-23,84360,3,2.779427
2011-10-23,22625,4,5.532187
2011-10-23,23273,5,6.895533
2011-10-23,22660,3,3.165832
2011-10-23,48111,1,1.617886
2011-10-23,21479,4,6.39593
2011-10-23,22180,1,1.3217987
2011-10-23,22487,1,1.3225273
2011-10-23,21494,22,28.426243
2011-10-23,85231B,4,3.7741742
2011-10-23,84347,31,46.244038
2011-10-23,82484,1,3.1801438
2011-10-23,23013,1,1.5059055
2011-10-23,21210,1,8.766987
2011-10-23,20718,22,25.609875
2011-10-23,23075,2,3.001781
2011-10-23,23058,12,13.291646
2011-10-23,23014,1,1.8472561
2011-10-23,21121,1,8.587162
2011-10-23,82494L,18,21.790144
2011-10-23,22694,9,10.71948
2011-10-23,23296,5,7.5713506
2011-10-23,21803,4,6.1491218
2011-10-23,21991,5,5.5148745
2011-10-23,22356,4,6.4490113
2011-10-23,22703,1,1.3674749
2011-10-23,22488,4,6.486707
2011-10-23,22382,6,9.787977
2011-10-23,22728,4,4.9981875
2011-10-23,21484,11,13.229174
2011-10-23,22619,3,4.491325
2011-10-23,20992,13,17.930737
2011-10-23,23292,4,5.0726495
2011-10-23,22867,13,18.465366
2011-10-23,23557,4,1.2769378
2011-10-23,23077,20,38.174988
2011-10-23,21640,27,30.926918
2011-10-23,23041,1,1.5435852
2011-10-23,22692,7,7.231107
2011-10-23,22708,25,28.592083
2011-10-23,22374,1,1.4184049
2011-10-23,85230B,24,29.163261
2011-10-23,84596B,2,4.815142
2011-10-23,22358,1,1.2145704
2011-10-23,21912,2,3.1153283
2011-10-23,90142D,3,0.016010672
2011-10-23,23300,17,21.784086
2011-10-23,17012B,1,2.3406842
2011-10-23,23165,8,9.572199
2011-10-23,23393,8,8.969902
2011-10-23,82552,2,2.287869
2011-10-23,21802,5,7.3062453
2011-10-23,23388,3,7.0636716
2011-10-23,23392,3,3.5901933
2011-10-23,22371,4,4.351995
2011-10-23,22693,48,55.41002
2011-10-23,23558,4,1.3683494
2011-10-23,22557,8,12.611774
2011-10-23,23308,3,4.8386483
2011-10-23,21452,3,3.839364
2011-10-23,23291,4,5.9368405
2011-10-23,22626,1,1.8293604
2011-10-23,21485,7,9.208275
2011-10-23,17090A,6,7.891488
2011-10-23,22624,5,6.9668546
2011-10-23,23169,3,3.7207093
2011-10-23,21974,6,7.4985957
2011-10-23,21386,4,6.9238267
2011-10-23,22367,7,8.215416
2011-10-23,22560,14,16.329388
2011-10-23,22993,14,19.381021
2011-10-23,22191,2,2.492632
2011-10-23,21175,2,4.4060626
2011-10-23,84375,1,2.215773
2011-10-23,23275,6,11.919146
2011-10-23,23556,6,3.34207
2011-10-23,22566,1,1.8635372
2011-10-23,23553,3,23.412771
2011-10-23,21156,9,14.687921
2011-10-23,23068,12,12.059805
2011-10-23,23007,1,1.5910476
2011-10-23,22377,10,10.510571
2011-10-23,21808,3,3.9713883
2011-10-23,82578,26,26.112118
2011-10-23,82486,9,10.181675
2011-10-23,22498,1,1.3056606
2011-10-23,22726,2,3.061193
2011-10-23,23293,9,13.345135
2011-10-23,22187,5,8.03467
2011-10-23,17084P,25,27.27878
2011-10-23,23306,6,7.9255548
2011-10-23,23284,14,18.464306
2011-10-23,23543,3,3.277411
2011-10-23,21293,4,4.759915
2011-10-23,84997C,2,2.5174642
2011-10-23,22188,2,4.7159314
2011-10-23,22359,1,1.2782873
2011-10-23,21990,4,6.6424127
2011-10-23,23166,1,2.374846
2011-10-23,35648,6,5.621491
2011-10-23,23381,6,8.078352
2011-10-23,85054,1,1.9062046
2011-10-23,21828,3,3.8296227
2011-10-23,22489,6,15.161169
2011-10-23,23167,28,34.077267
2011-10-23,16169E,25,34.705322
2011-10-23,48173C,3,3.014462
2011-10-23,22723,1,1.3421129
2011-10-23,35095A,12,11.861847
2011-10-23,21002,2,2.449776
2011-10-23,21810,6,14.822607
2011-10-23,22617,4,5.302297
2011-10-23,22661,2,8.246267
2011-10-23,35646,6,6.057448
2011-10-23,21811,8,21.960741
2011-10-23,84947,18,24.614784
2011-10-23,21980,12,16.137339
2011-10-23,22561,60,64.13489
2011-10-23,48184,2,2.290608
2011-10-23,21650,7,11.93434
2011-10-23,17012A,10,12.322333
2011-10-23,35819B,8,9.466066
2011-10-23,23559,2,2.1382718
2011-10-23,17012F,5,5.5879464
2011-10-23,85071D,4,4.158314
2011-10-23,22865,7,16.050121
2011-10-23,22175,1,2.9951472
2011-10-23,21823,33,36.329067
2011-10-23,23270,5,6.5416417
2011-10-23,23542,1,1.5600446
2011-10-23,22564,1,2.1164622
2011-10-23,23579,3,2.0614333
2011-10-23,17003,60,69.16294
2011-10-23,23266,21,24.35435
2011-10-23,23569,2,12.855281
2011-10-23,23283,8,8.376733
2011-10-23,23390,8,11.629282
2011-10-23,21818,54,63.205452
2011-10-23,22592,2,4.3641486
2011-10-23,22707,25,28.688456
2011-10-23,22186,1,3.3214269
2011-10-23,17084N,50,53.18443
2011-10-23,22491,12,13.428253
2011-10-23,23047,1,1.4539846
2011-10-23,22628,1,1.3410839
2011-10-23,22662,10,12.415331
2011-10-23,22500,4,3.9782434
2011-10-23,21481,6,11.190622
2011-10-23,23048,7,8.471149
2011-10-23,21060,3,3.682779
2011-10-23,21975,3,7.0228047
2011-10-23,23016,1,1.5153278
2011-10-23,23301,21,27.514952
2011-10-23,21982,3,6.1576505
2011-10-23,22173,1,2.1711802
2011-10-23,22384,13,15.129972
2011-10-23,21992,24,26.442265
2011-10-23,23555,7,4.3043733
2011-10-23,23298,6,8.304268
2011-10-23,21670,2,3.711465
2011-10-23,23311,9,13.564533
2011-10-23,22176,1,2.4620585
2011-10-23,22695,1,1.7971395
2011-10-23,48129,2,2.1577992
2011-10-23,21908,1,8.045473
2011-10-23,22712,36,43.470963
2011-10-23,23234,6,8.520945
2011-10-23,35953,12,19.350613
2011-10-23,23486,3,2.2249074
2011-10-23,21262,2,2.9881248
2011-10-23,23336,1,1.6195606
2011-10-23,21617,9,9.988073
2011-10-23,46000S,2,2.1073499
2011-10-23,22470,13,15.339209
2011-10-23,22679,1,1.37645
2011-10-23,15044C,4,4.761427
2011-10-23,22306,13,15.351229
2011-10-23,23215,27,31.645397
2011-10-23,22639,6,6.4803348
2011-10-23,22585,3,10.844429
2011-10-23,22899,14,14.829786
2011-10-23,23214,2,3.1468148
2011-10-23,85049G,11,11.312405
2011-10-23,23337,1,1.5723661
2011-10-23,21367,3,3.474236
2011-10-23,84884A,4,3.352778
2011-10-23,22952,2,32.525818
2011-10-23,21822,26,27.571125
2011-10-23,22598,12,14.9056635
2011-10-23,85032B,12,12.0550785
2011-10-23,22419,2,4.1412587
2011-10-23,22089,2,2.8968515
2011-10-23,23368,16,26.173098
2011-10-23,21136,16,21.611103
2011-10-23,22086,13,29.7379
2011-10-23,22307,6,7.5538745
2011-10-23,22637,2,4.330951
2011-10-23,22959,50,58.291653
2011-10-23,45013,1,1.2172188
2011-10-23,23219,2,3.0796857
2011-10-23,23490,16,15.760674
2011-10-23,20676,2,3.931243
2011-10-23,22666,11,12.683193
2011-10-23,22530,21,22.793634
2011-10-23,22575,10,10.659228
2011-10-23,22310,1,1.2851375
2011-10-23,23152,3,3.1337333
2011-10-23,23184,5,4.826424
2011-10-23,23335,2,2.1555362
2011-10-23,23489,20,10.629661
2011-10-23,47590B,2,3.3945107
2011-10-23,23103,29,39.4729
2011-10-23,46000M,4,5.0403256
2011-10-23,22766,8,8.964698
2011-10-23,22955,1,2.3343873
2011-10-23,22576,9,11.631757
2011-10-23,23487,2,0.7786392
2011-10-23,51014A,12,17.999441
2011-10-23,84692,3,7.7798314
2011-10-23,23217,2,4.325154
2011-10-23,21917,2,12.20509
2011-10-23,21261,1,2.2895756
2011-10-23,23150,2,2.0208554
2011-10-23,23482,13,20.50065
2011-10-23,22531,11,12.572059
2011-10-23,72799F,1,2.02315
2011-10-23,20679,2,3.2867312
2011-10-23,23148,42,44.543312
2011-10-23,85184C,2,2.414124
2011-10-23,22947,1,2.4046178
2011-10-23,23209,8,15.65291
2011-10-23,21918,9,11.199298
2011-10-23,21260,4,5.8540792
2011-10-23,82616C,1,1.8378471
2011-10-23,22773,2,2.5222125
2011-10-23,23367,12,22.989895
2011-10-23,22774,12,14.543689
2011-10-23,21166,1,4.0212255
2011-10-23,22945,36,40.047268
2011-10-23,72760B,1,1.7156967
2011-10-23,23109,3,4.701325
2011-10-23,22092,3,4.0610795
2011-10-23,85049A,13,16.8018
2011-10-23,22295,22,25.29931
2011-10-23,16156S,25,33.64418
2011-10-23,22944,24,36.9951
2011-10-23,23470,5,5.868624
2011-10-23,84031B,1,1.7630981
2011-10-23,23208,1,2.977013
2011-10-23,23413,1,1.6355432
2011-10-23,21680,6,7.8370776
2011-10-23,85169B,4,3.5262265
2011-10-23,84077,48,68.19657
2011-10-23,22900,2,4.3649125
2011-10-23,23185,4,4.7527204
2011-10-23,22951,26,35.58365
2011-10-23,23338,1,1.5194305
2011-10-23,22210,2,2.6150212
2011-10-23,22577,18,37.84063
2011-10-23,23106,2,2.1444297
2011-10-23,20712,1,6.969128
2011-10-23,22090,4,5.0605435
2011-10-23,21932,4,4.289096
2011-10-23,84507C,5,4.4621854
2011-10-23,23411,1,1.6652607
2011-10-23,21368,2,2.5489786
2011-10-23,22950,2,6.2209935
2011-10-23,22142,12,17.729546
2011-10-23,23212,3,14.008438
2011-10-23,23480,2,1.8887638
2011-10-23,21232,6,14.090105
2011-10-23,23339,1,1.4834074
2011-10-23,23107,8,8.243873
2011-10-23,82583,2,11.926876
2011-10-23,23211,13,19.196856
2011-10-23,21167,50,54.242382
2011-10-23,22641,3,3.1065927
2011-10-23,23210,18,29.655706
2011-10-23,22091,5,5.6354804
2011-10-23,21733,2,4.4826474
2011-10-23,23491,14,3.2372594
2011-10-23,72802C,4,13.103146
2011-10-23,22312,2,2.7280822
2011-10-23,21523,1,1.8419217
2011-10-23,23182,5,7.691115
