,InvoiceDate,StockCode,Quantity,Quantity Prediction
221104,2011-10-21,22460,30,59.854271049210595
221105,2011-10-21,22815,24,71.57176134016696
221106,2011-10-21,22211,2,60.97717114136445
221107,2011-10-21,21485,5,42.7412203274478
221108,2011-10-21,23523,6,35.7105633755594
221109,2011-10-21,22772,14,46.06568321647219
221110,2011-10-21,85071D,4,25.976010633153713
221111,2011-10-21,23080,2,21.583587945013353
221112,2011-10-21,22574,12,10.277008390379429
221113,2011-10-21,23359,24,20.248253178785006
221114,2011-10-21,22268,10,-62.57138836447035
221115,2011-10-21,23487,1,-61.64243475747736
221116,2011-10-21,51014A,24,-84.57174243669274
221117,2011-10-21,20712,10,-180.62738374626178
221118,2011-10-21,23265,6,-188.1202332642865
221119,2011-10-21,22603,24,-176.99824405738357
221120,2011-10-21,21429,50,-144.58732558781026
221121,2011-10-21,22899,6,-146.5111759710604
221122,2011-10-21,21744,18,-145.70743354361989
221123,2011-10-21,22452,6,-147.82965857271898
221124,2011-10-21,23264,25,-126.8114843674542
221125,2011-10-21,85034A,4,-127.28356634549658
221126,2011-10-21,22481,12,-116.98794159609278
221127,2011-10-21,23528,1,-129.38499393429987
221128,2011-10-21,23355,42,-120.78869185484953
221129,2011-10-21,23358,12,-118.88184500907312
221130,2011-10-21,22493,12,-119.73482128320407
221131,2011-10-21,21621,4,-120.24870375895844
221132,2011-10-21,85066,0,-123.14049762035552
221133,2011-10-21,21124,48,-123.82149983568056
221134,2011-10-21,22142,30,-143.85699883177887
221135,2011-10-21,22593,24,-260.31327787717333
221136,2011-10-21,22994,24,-257.1306585459962
221137,2011-10-21,23147,12,-257.7441150019014
221138,2011-10-21,23509,520,211.82495972734216
221139,2011-10-21,21108,9,184.44311716035799
221140,2011-10-21,21731,12,-80.71902560678274
221141,2011-10-21,21843,8,-74.36675242117042
221142,2011-10-21,21401,3,-99.07905399147486
221143,2011-10-21,23332,4,-94.96496714438976
221144,2011-10-21,20973,2,-96.06948700185525
221145,2011-10-21,21841,2,-97.39608959071398
221146,2011-10-21,21592,6,-114.16750020096941
221147,2011-10-21,84406B,48,-68.08103805812912
221148,2011-10-21,23083,6,-69.62075131411319
221149,2011-10-21,22222,12,-59.722757451358675
221150,2011-10-21,22738,30,-60.558816043296275
221151,2011-10-21,22942,34,-27.202193759880487
221152,2011-10-21,22624,6,-64.8314859235358
221153,2011-10-21,47559B,2,-67.16991833793871
221154,2011-10-21,21402,3,-88.45167039409567
221155,2011-10-21,21756,6,-88.68426381080708
221156,2011-10-21,22169,1,-94.65224545767914
221157,2011-10-21,23510,23,-92.82981117468313
221158,2011-10-21,21311,1,-91.22795553554437
221159,2011-10-21,21745,3,-99.28899127740382
221160,2011-10-21,22940,9,-101.49382487967875
221161,2011-10-21,23491,12,-102.43529152997098
221162,2011-10-21,82551,14,-101.33932452858829
221163,2011-10-21,23527,6,-107.05539705782365
221164,2011-10-21,23492,8,-108.25301371501914
221165,2011-10-21,23485,134,-107.83616420938344
221166,2011-10-21,23187,3,-153.13195203969502
221167,2011-10-21,22998,5,-166.69448133326213
221168,2011-10-21,22327,4,-165.46135108714236
221169,2011-10-21,85034C,4,-231.33731046044159
221170,2011-10-21,22749,8,-243.38676781024287
