,InvoiceDate,StockCode,Quantity,Quantity Prediction,PredictedDiff
221104,2011-10-21,22460,30,59.81267905339983,29.812679053399833
221105,2011-10-21,22815,24,71.63572082443599,11.823041771036161
221106,2011-10-21,22211,2,60.19193251368029,-11.4437883107557
221107,2011-10-21,21485,5,41.97804259222852,-18.21388992145177
221108,2011-10-21,23523,6,35.58601973395985,-6.392022858268672
221109,2011-10-21,22772,14,48.4036635613554,12.817643827395552
221110,2011-10-21,85071D,4,30.383398523117243,-18.020265038238158
221111,2011-10-21,23080,2,26.590476108507595,-3.792922414609647
221112,2011-10-21,22574,12,15.71727264540537,-10.873203463102227
221113,2011-10-21,23359,24,24.981089702972234,9.263817057566865
221114,2011-10-21,22268,10,-58.62956395954535,-83.61065366251759
221115,2011-10-21,23487,1,-57.890260412410925,0.7393035471344285
221116,2011-10-21,51014A,24,-78.98948204240101,-21.099221629990087
221117,2011-10-21,20712,10,-175.00254178143118,-96.01305973903017
221118,2011-10-21,23265,6,-182.37655548523568,-7.374013703804514
221119,2011-10-21,22603,24,-171.3770876587749,10.999467826460762
221120,2011-10-21,21429,50,-140.16554241035698,31.211545248417934
221121,2011-10-21,22899,6,-143.09354384941625,-2.9280014390592832
221122,2011-10-21,21744,18,-143.12090694880854,-0.027363099392302997
221123,2011-10-21,22452,6,-143.75042689164502,-0.6295199428364724
221124,2011-10-21,23264,25,-122.07378568475193,21.676641206893102
221125,2011-10-21,85034A,4,-122.37128650988615,-0.29750082513422643
221126,2011-10-21,22481,12,-112.6379867958072,9.733299714078942
221127,2011-10-21,23528,1,-125.45780980218078,-12.819823006373587
221128,2011-10-21,23355,42,-117.64964846137062,7.808161340810167
221129,2011-10-21,23358,12,-116.51475546772727,1.134892993643355
221130,2011-10-21,22493,12,-115.9851798304407,0.5295756372865557
221131,2011-10-21,21621,4,-116.47799442841645,-0.49281459797576505
221132,2011-10-21,85066,0,-119.6424318251047,-3.1644373966882435
221133,2011-10-21,21124,48,-120.93740526939823,-1.294973444293533
221134,2011-10-21,22142,30,-143.33705672796805,-22.39965145856982
221135,2011-10-21,22593,24,-261.1481834243584,-117.81112669639037
221136,2011-10-21,22994,24,-258.7405085359821,2.407674888376309
221137,2011-10-21,23147,12,-258.25517744721077,0.4853310887713265
221138,2011-10-21,23509,520,214.98663612429618,473.24181357150695
221139,2011-10-21,21108,9,186.4697125501569,-28.51692357413927
221140,2011-10-21,21731,12,-80.08331802606156,-266.5530305762185
221141,2011-10-21,21843,8,-76.13285776090936,3.950460265152206
221142,2011-10-21,21401,3,-103.43626161624422,-27.303403855334853
221143,2011-10-21,23332,4,-100.94752577779914,2.488735838445091
221144,2011-10-21,20973,2,-102.21573772869448,-1.268211950895342
221145,2011-10-21,21841,2,-104.47708363727892,-2.261345908584433
221146,2011-10-21,21592,6,-122.47542809982772,-17.998344462548808
221147,2011-10-21,84406B,48,-77.25970606997865,45.215722029849076
221148,2011-10-21,23083,6,-81.4940471297749,-4.2343410597962485
221149,2011-10-21,22222,12,-73.98253939106746,7.511507738707434
221150,2011-10-21,22738,30,-76.9393447001119,-2.956805309044446
221151,2011-10-21,22942,34,-42.9828356621027,33.956509038009195
221152,2011-10-21,22624,6,-81.23255019319592,-38.24971453109321
221153,2011-10-21,47559B,2,-84.9530562338285,-3.7205060406325834
221154,2011-10-21,21402,3,-108.38889616528041,-23.435839931451902
221155,2011-10-21,21756,6,-111.64634292821287,-3.2574467629324704
221156,2011-10-21,22169,1,-120.46470649817778,-8.818363569964907
221157,2011-10-21,23510,23,-120.3049519608877,0.15975453729006023
221158,2011-10-21,21311,1,-119.18804083716324,1.1169111237244695
221159,2011-10-21,21745,3,-128.24862531719498,-9.060584480031725
221160,2011-10-21,22940,9,-132.5610635856,-4.312438268405037
221161,2011-10-21,23491,12,-135.50266922204258,-2.9416056364425773
221162,2011-10-21,82551,14,-137.16902171945284,-1.666352497410246
221163,2011-10-21,23527,6,-145.0699879914562,-7.900966272003361
221164,2011-10-21,23492,8,-148.80315246228562,-3.7331644708294314
221165,2011-10-21,23485,134,-148.44942308747713,0.35372937480849936
221166,2011-10-21,23187,3,-194.87176460045498,-46.422341512977845
221167,2011-10-21,22998,5,-210.6029351312541,-15.731170530799108
221168,2011-10-21,22327,4,-211.81373151397216,-1.2107963827180606
221169,2011-10-21,85034C,4,-280.88740490354724,-69.07367338957508
221170,2011-10-21,22749,8,-296.31414170218136,-15.426736798634147
221171,2011-10-21,22905,4,-372.8349523801398,-76.52081067795842
221172,2011-10-21,21733,1,-378.85661123519634,-6.021658855056545
221173,2011-10-21,22594,12,-383.3039479506189,-4.447336715422596
221174,2011-10-21,23504,12,-440.1015179636353,-56.79757001301636
221175,2011-10-21,22997,1,-443.5342159445221,-3.4326979808867946
221176,2011-10-21,23366,34,-436.2810255782254,7.253190366296703
221177,2011-10-21,22638,6,-437.53773755976243,-1.256711981537036
221178,2011-10-21,23503,42,-498.7341828565476,-61.19644529678515
221179,2011-10-21,23531,121,-392.67791863466425,106.05626422188335
221180,2011-10-21,85035B,1,-396.40121396033305,-3.7232953256688033
221181,2011-10-21,85034B,1,-420.20199917786533,-23.8007852175323
221182,2011-10-21,21989,2,-444.7725612610291,-24.570562083163804
221183,2011-10-21,22752,4,-446.8696277004224,-2.097066439393313
221184,2011-10-21,22210,2,-462.9257735281612,-16.056145827738785
221185,2011-10-21,85194S,12,-548.6593363530637,-85.73356282490253
221186,2011-10-21,23144,6,-559.851223951699,-11.191887598635264
221187,2011-10-21,23281,2,-571.8340796440413,-11.982855692342238
221188,2011-10-21,22577,200,-422.8231319598334,149.01094768420782
221189,2011-10-21,22732,18,-427.3901534651086,-4.56702150527521
221190,2011-10-21,20751,1,-434.1391063057907,-6.748952840682066
221191,2011-10-21,82494L,8,-482.36146322097045,-48.222356915179724
221192,2011-10-21,23514,3,-628.9803605812558,-146.61889736028536
221193,2011-10-21,23077,80,-957.6352694915289,-328.6549089102731
221194,2011-10-21,85036C,1,-980.3151560878157,-22.679886596286767
221195,2011-10-21,23188,14,-995.7804990447491,-15.465342956933561
221196,2011-10-21,22498,1,-1002.8446449353096,-7.064145890560357
221197,2011-10-21,21503,25,-1007.2443111150294,-4.399666179719704
221198,2011-10-21,23329,2,-1024.5874709680888,-17.343159853059333
221199,2011-10-21,23534,6,-1029.1075746972351,-4.520103729146327
221200,2011-10-21,23211,48,-1009.4947240688214,19.61285062841371
221201,2011-10-21,23129,8,-1013.263870023701,-3.769145954879643
221202,2011-10-21,23469,6,-1093.23951389509,-79.97564387138921
221203,2011-10-21,22774,12,-1090.3235818963285,2.9159319987616885
221204,2011-10-21,22818,24,-1108.452797038416,-18.129215142087553
221205,2011-10-21,21277,1,-1114.0658050559266,-5.613008017510446
221206,2011-10-21,22188,120,-999.7710031973497,114.29480185857699
221207,2011-10-21,21328,1,-1007.413470386889,-7.642467189539325
221208,2011-10-21,85183B,8,-1004.1310460223319,3.2824243645570244
221209,2011-10-21,22437,4,-1006.2605978919041,-2.1295518695722855
221210,2011-10-21,22374,3,-1015.5425988251266,-9.282000933222399
221211,2011-10-21,23231,25,-1045.6641287473358,-30.121529922209294
221212,2011-10-21,72586,14,-1039.778473878869,5.885654868466861
221213,2011-10-21,22024,12,-1053.4604183290091,-13.681944450140184
221214,2011-10-21,22582,6,-1066.208565495646,-12.748147166636933
221215,2011-10-21,84030E,10,-1066.2194068700453,-0.010841374399207931
221216,2011-10-21,22434,1,-1078.441756868863,-12.222349998817574
221217,2011-10-21,20723,35,-1067.2362142353961,11.20554263346689
