InvoiceDate,StockCode,Quantity,Quantity Prediction
2011-10-23,20719,4,4.5462537
2011-10-23,23290,4,3.9677176
2011-10-23,22704,25,24.957888
2011-10-23,22562,1,0.9127288
2011-10-23,22701,1,1.0974045
2011-10-23,17012D,3,2.8755956
2011-10-23,23265,19,18.700193
2011-10-23,23289,4,4.1266584
2011-10-23,23060,1,1.0496032
2011-10-23,23269,2,2.2956383
2011-10-23,23554,7,6.443649
2011-10-23,23272,5,4.945478
2011-10-23,21817,4,4.5913124
2011-10-23,20996,7,7.4563065
2011-10-23,35095B,12,12.084137
2011-10-23,85071B,6,5.824388
2011-10-23,85071C,2,1.9748185
2011-10-23,23074,1,1.0355611
2011-10-23,23539,1,1.6613003
2011-10-23,21114,15,15.177382
2011-10-23,21989,1,0.9293767
2011-10-23,17012C,25,25.001562
2011-10-23,21986,12,12.03693
2011-10-23,20723,2,2.6036894
2011-10-23,21636,5,5.193764
2011-10-23,23389,10,10.166545
2011-10-23,35651,4,3.9894753
2011-10-23,22721,2,1.9232669
2011-10-23,22163,6,5.8282595
2011-10-23,85066,18,17.97582
2011-10-23,22362,1,0.8877541
2011-10-23,21390,6,6.5769587
2011-10-23,21993,7,7.0762177
2011-10-23,85152,1,2.8731458
2011-10-23,84997D,2,2.3417552
2011-10-23,22381,3,2.997957
2011-10-23,21181,2,2.9442618
2011-10-23,21809,8,8.540912
2011-10-23,84029G,3,3.2534292
2011-10-23,84378,4,4.6293435
2011-10-23,22866,23,23.019651
2011-10-23,23170,12,12.740446
2011-10-23,15044A,3,3.045309
2011-10-23,84360,3,3.2139945
2011-10-23,22625,4,3.9567509
2011-10-23,23273,5,5.059528
2011-10-23,22660,3,2.9853592
2011-10-23,48111,1,0.9107051
2011-10-23,21479,4,4.0147014
2011-10-23,22180,1,0.8697206
2011-10-23,22487,1,0.98351395
2011-10-23,21494,22,21.90607
2011-10-23,85231B,4,3.9134192
2011-10-23,84347,31,31.884151
2011-10-23,82484,1,1.5934892
2011-10-23,23013,1,1.0047554
2011-10-23,21210,1,1.6620109
2011-10-23,20718,22,22.305307
2011-10-23,23075,2,1.9442095
2011-10-23,23058,12,12.13384
2011-10-23,23014,1,1.1087071
2011-10-23,21121,1,3.2829635
2011-10-23,82494L,18,18.0852
2011-10-23,22694,9,9.021559
2011-10-23,23296,5,4.8206854
2011-10-23,21803,4,3.9280114
2011-10-23,21991,5,4.9539914
2011-10-23,22356,4,4.180107
2011-10-23,22703,1,0.9681406
2011-10-23,22488,4,4.299657
2011-10-23,22382,6,6.158787
2011-10-23,22728,4,3.6137874
2011-10-23,21484,11,11.167842
2011-10-23,22619,3,3.0616913
2011-10-23,20992,13,13.265509
2011-10-23,23292,4,3.9904163
2011-10-23,22867,13,12.830245
2011-10-23,23557,4,1.8074951
2011-10-23,23077,20,20.885769
2011-10-23,21640,27,27.134947
2011-10-23,23041,1,1.1843064
2011-10-23,22692,7,6.9585767
2011-10-23,22708,25,25.102856
2011-10-23,22374,1,0.7822592
2011-10-23,85230B,24,23.929617
2011-10-23,84596B,2,2.2360435
2011-10-23,22358,1,1.0563618
2011-10-23,21912,2,2.0853496
2011-10-23,90142D,3,2.5118144
2011-10-23,23300,17,16.886244
2011-10-23,17012B,1,0.8408375
2011-10-23,23165,8,8.204456
2011-10-23,23393,8,8.306988
2011-10-23,82552,2,2.061282
2011-10-23,21802,5,4.8686004
2011-10-23,23388,3,3.5352852
2011-10-23,23392,3,3.1568046
2011-10-23,22371,4,3.8893764
2011-10-23,22693,48,48.546276
2011-10-23,23558,4,3.3705547
2011-10-23,22557,8,7.6894164
2011-10-23,23308,3,2.9495542
2011-10-23,21452,3,2.9875283
2011-10-23,23291,4,4.1421638
2011-10-23,22626,1,1.0325518
2011-10-23,21485,7,7.2513146
2011-10-23,17090A,6,5.92271
2011-10-23,22624,5,4.8582525
2011-10-23,23169,3,2.8256464
2011-10-23,21974,6,6.1158047
2011-10-23,21386,4,4.0712357
2011-10-23,22367,7,6.9094234
2011-10-23,22560,14,13.573532
2011-10-23,22993,14,13.811523
2011-10-23,22191,2,1.9221222
2011-10-23,21175,2,1.7623857
2011-10-23,84375,1,1.2886353
2011-10-23,23275,6,6.4791965
2011-10-23,23556,6,5.9978538
2011-10-23,22566,1,1.161223
2011-10-23,23553,3,0.0
2011-10-23,21156,9,9.341871
2011-10-23,23068,12,12.0061245
2011-10-23,23007,1,0.9430703
2011-10-23,22377,10,10.174729
2011-10-23,21808,3,2.9634464
2011-10-23,82578,26,25.9899
